City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Cidreira,-30.1811,-50.2056,66.58,64,50,12.01,BR,2022-04-30 14:40:43
140,Isla Mujeres,21.2311,-86.731,82.17,62,0,13.73,MX,2022-04-30 14:40:43
141,Lubbock,33.6001,-101.8338,63.37,26,40,10.0,US,2022-04-30 14:40:44
142,Bowen,-20.0167,148.2333,70.41,91,2,9.06,AU,2022-04-30 14:40:45
143,Rio Bonito,-22.7086,-42.6097,77.0,80,59,4.56,BR,2022-04-30 14:40:45
144,Necochea,-38.5473,-58.7368,53.51,40,5,7.52,AR,2022-04-30 14:39:32
145,Sladkovo,55.5284,70.3385,45.77,43,100,9.26,RU,2022-04-30 14:40:46
146,Dunedin,-45.8742,170.5036,55.8,73,24,5.01,NZ,2022-04-30 14:39:31
147,Tabuk,17.4189,121.4443,77.68,82,95,4.79,PH,2022-04-30 14:40:46
148,Ribeira Grande,38.5167,-28.7,66.6,77,75,12.66,PT,2022-04-30 14:40:27
149,Vzmorye,54.6961,20.2361,57.29,45,25,5.03,RU,2022-04-30 14:40:47
150,Pochutla,15.7432,-96.4661,83.82,50,59,3.44,MX,2022-04-30 14:40:48
151,Onverwacht,5.5833,-55.1833,89.85,79,40,9.22,SR,2022-04-30 14:40:49
152,Lawrenceburg,38.0373,-84.8966,70.72,65,97,3.0,US,2022-04-30 14:40:49
153,Barcelona,41.3888,2.159,75.72,65,20,14.97,ES,2022-04-30 14:40:49
154,Poindimie,-20.9333,165.3333,73.2,85,64,11.05,NC,2022-04-30 14:40:50
155,Luena,-11.7833,19.9167,82.58,61,20,4.61,AO,2022-04-30 14:40:50
156,Bethel,41.3712,-73.414,57.0,36,0,8.05,US,2022-04-30 14:40:51
157,Labuhan,-6.8844,112.2051,79.97,85,100,10.69,ID,2022-04-30 14:40:51
158,Touros,-5.1989,-35.4608,85.87,64,79,16.15,BR,2022-04-30 14:40:52
159,Opuwo,-18.0607,13.84,81.45,32,64,3.96,NA,2022-04-30 14:40:52
160,Talnakh,69.4865,88.3972,20.21,95,90,6.89,RU,2022-04-30 14:40:53
161,Chiriqui Grande,8.95,-82.1167,81.9,82,80,2.95,PA,2022-04-30 14:40:54
162,Mahajanga,-15.7167,46.3167,81.84,67,6,7.52,MG,2022-04-30 14:40:54
163,Aras,42.5617,-2.356,66.61,43,0,10.36,ES,2022-04-30 14:40:55
164,Havre-Saint-Pierre,50.2334,-63.5986,37.4,75,100,21.85,CA,2022-04-30 14:40:55
165,Georgetown,5.4112,100.3354,85.98,80,20,3.44,MY,2022-04-30 14:36:35
166,Suez,29.9737,32.5263,90.7,13,0,21.81,EG,2022-04-30 14:40:56
167,Avarua,-21.2078,-159.775,78.85,83,40,5.75,CK,2022-04-30 14:40:56
