City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,156,Baykit,61.67,96.37,34.99,59,100,10.42,RU,2022-05-02 03:00:50
157,157,Butaritari,3.0707,172.7902,81.61,78,81,12.71,KI,2022-05-02 02:56:05
158,158,Hermanus,-34.4187,19.2345,59.81,80,99,9.17,ZA,2022-05-02 03:00:44
159,159,Uhlirske Janovice,49.8802,15.0648,50.22,84,99,0.72,CZ,2022-05-02 03:00:50
160,160,Saldanha,-33.0117,17.9442,55.45,59,100,6.98,ZA,2022-05-02 02:56:31
161,161,Pionerskiy,54.9508,20.2275,40.75,88,8,6.4,RU,2022-05-02 03:00:51
162,162,Ocos,14.5094,-92.1933,83.75,71,97,4.5,GT,2022-05-02 03:00:51
163,163,Mar Del Plata,-38.0023,-57.5575,50.88,70,100,8.99,AR,2022-05-02 03:00:52
164,164,Ilulissat,69.2167,-51.1,17.62,67,75,3.44,GL,2022-05-02 03:00:52
165,165,Oksfjord,70.2396,22.3479,32.07,94,100,6.33,NO,2022-05-02 03:00:52
166,166,Samokov,42.3333,23.55,45.68,94,97,3.49,BG,2022-05-02 03:00:53
167,167,Liverpool,53.4106,-2.9779,52.61,90,20,5.75,GB,2022-05-02 02:59:39
168,168,Victoria,22.2855,114.1577,67.32,86,100,1.99,HK,2022-05-02 02:57:12
169,169,Katsuura,35.1333,140.3,62.62,56,88,7.29,JP,2022-05-02 03:00:54
170,170,Esperance,-33.8667,121.9,68.49,55,35,9.6,AU,2022-05-02 03:00:54
171,171,Torbay,47.6666,-52.7314,40.28,92,56,3.76,CA,2022-05-02 03:00:54
172,172,Shebunino,46.4339,141.8603,37.51,96,100,9.19,RU,2022-05-02 03:00:55
173,173,Alvorada,-12.48,-49.1247,73.65,64,47,1.45,BR,2022-05-02 03:00:55
174,174,Pangnirtung,66.1451,-65.7125,25.36,97,100,3.74,CA,2022-05-02 03:00:56
175,175,Victor Harbor,-35.5667,138.6167,69.01,66,9,1.01,AU,2022-05-02 03:00:56
176,176,Kruisfontein,-34.0033,24.7314,51.49,87,0,4.14,ZA,2022-05-02 03:00:57
177,177,Codrington,-38.2667,141.9667,67.41,53,100,11.92,AU,2022-05-02 03:00:57
178,178,Vernon,50.2581,-119.2691,59.45,44,100,3.74,CA,2022-05-02 03:00:02
179,179,Ntchisi,-13.5278,33.9149,49.42,95,0,3.65,MW,2022-05-02 03:00:58
180,180,Sibolga,1.7427,98.7792,78.53,85,100,2.55,ID,2022-05-02 03:01:58
181,181,Calama,-22.4667,-68.9333,50.54,27,1,2.44,CL,2022-05-02 03:00:05
